id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,location,hashtags,link,retweet,quote_url
1068520223391666177,1068520223391666177,1543590048000,2018-11-30,08:00:48,MST,904959163087724544,chineseinla_com,洛杉矶华人资讯网,,基因编辑婴儿背后失控的产业链 商业帝国遭起底! 焦点20181129： http://youtu.be/dsUD-0VlgwY?a （来自@YouTube）,['youtube'],['http://youtu.be/dsUD-0VlgwY?a'],[],0,0,0,,[],https://twitter.com/ChineseInLA_com/status/1068520223391666177,,
1068518085525557253,1068171569380261888,1543589538000,2018-11-30,07:52:18,MST,1402097694,sliangq,沈良庆,,前几天自由亚洲电台粤语部文宇晴女士就国内相关部门纷纷表态，当事人在香港担心回来受到刑事追究和“迫害”询问我，我说未经正当程序听证和公开辩论随便进行人类基因编辑的所谓创新严重违背医学伦理，发生这种事固然有相关部门管理责任，当事人更应该问责，问责雷声大也不等于追究刑责，谈不上什么迫害。,['huaizhao'],[],[],0,0,1,,[],https://twitter.com/sliangq/status/1068518085525557253,,
1068517455364993027,1068517455364993027,1543589388000,2018-11-30,07:49:48,MST,4693203420,commoncin,LFCCinCommon,,袁腾飞聊基因编辑婴儿:法律伦理全然不顾  前沿科技应有底线  https://youtu.be/JSyDnB8_mlI  來自 @YouTube,['youtube'],['https://youtu.be/JSyDnB8_mlI'],[],0,0,0,,[],https://twitter.com/CommonCin/status/1068517455364993027,,
1068516830283673601,1068260369817309185,1543589239000,2018-11-30,07:47:19,MST,854707282239770628,guojiajiajia,BMZJ,,基因编辑哪有那样的魔力，想多了，哈哈,['tvoon1'],[],[],1,0,0,,[],https://twitter.com/guojiajiajia/status/1068516830283673601,,
1068516780052815873,1068516780052815873,1543589227000,2018-11-30,07:47:07,MST,45358339,boxun,博讯新闻网,,葫芦说事：中国暂停基因编辑婴儿活动 习特会在即崔天凯威胁抛售美债,,[],[],0,1,0,,[],https://twitter.com/boxun/status/1068516780052815873,,
1068516316401692673,1068516316401692673,1543589116000,2018-11-30,07:45:16,MST,3075309993,bowenpress,博闻社,,葫芦说事：中国暂停基因编辑婴儿活动 习特会在即崔天凯威胁抛售美债,,[],[],1,0,2,,[],https://twitter.com/bowenpress/status/1068516316401692673,,
1068515113894764547,1068515113894764547,1543588829000,2018-11-30,07:40:29,MST,1004753124240830464,talkativeli,talkativeli,,基因编辑是啥？CRISPR/cas9技术如何修改DNA？李永乐老师讲基因工程（1）  https://youtu.be/o1MdiW5UZh0  via @YouTube,['youtube'],['https://youtu.be/o1MdiW5UZh0'],[],0,0,0,,[],https://twitter.com/talkativeli/status/1068515113894764547,,
1068513425024868353,1068513425024868353,1543588427000,2018-11-30,07:33:47,MST,498409102,boxunn,博讯焦点,,李珊珊：第一例基因编辑婴儿诞生在中国是一种必然 :  https://ift.tt/2rcymni ,,['https://ift.tt/2rcymni'],[],0,0,0,,[],https://twitter.com/BoxunN/status/1068513425024868353,,
1068513077308547072,1068513077308547072,1543588344000,2018-11-30,07:32:24,MST,850364564747177985,studio_kenken,Ken,,李珊珊：第一例基因编辑婴儿诞生在中国是一种必然  http://disq.us/t/391llsb ,,['http://disq.us/t/391llsb'],[],1,0,0,,[],https://twitter.com/studio_kenken/status/1068513077308547072,,
1068512794239221770,1068493155601793024,1543588276000,2018-11-30,07:31:16,MST,267341814,jimmycmchang,James,,一个获得了基因编辑方法授权的小知识分子，眼神里流露出来的似乎是掌握了这个世界的奥秘以后的得意，真不知这样的蠢人中国还有多少,"['gugufan1', 'nengmei94296330']",[],[],0,1,9,,[],https://twitter.com/JimmyCMChang/status/1068512794239221770,,
