,date,HASHTAG,count_hashtag
681,2018-08-01,['METOO大辩论'],1
692,2018-08-01,['METOOINCHINA'],1
693,2018-08-01,['实锤并没有下落'],1
699,2018-08-01,['活久见'],1
717,2018-08-01,"['I', '超级话题内容不定时更新']",2
722,2018-08-01,['METOOMATTERS'],1
733,2018-07-31,"['此帐号已被屏蔽', 'CHINA', 'METOOCHINA', 'CENSORED', 'WECHAT']",5
744,2018-07-31,"['与神同行', 'ALONGWITHGODS', '신과함께', '与神同行2', '吴达秀', '吴达洙', '오달수', '赵汉哲', '조한철', '金明坤', '김명곤', '韩国', 'SOUTHKOREA']",13
765,2018-07-31,"['时事大家谈', '性骚扰', '米兔在中国', 'METOOINCHINA']",4
778,2018-07-31,['老子也是'],1
780,2018-07-31,"['I', '超级话题内容不定时更新']",2
786,2018-07-30,"['CHINA', '中国', '泛亚', 'XIJINPING', '董瑶琼', '岳昕', 'ABC', 'AFP', 'TRUMP', 'BBC', 'CNN', 'FOXNEWSUS', 'FT', 'NEWS', 'HUAWEI', 'REUTERS', 'PANDA', 'RFI', 'RT', 'SINA', 'TVB', 'CCTV', 'UN', 'WORLDNEWS', 'WTO', 'GOOGLE', 'ZTE', '一带一路', '厉害了', '中国制造2025', '美中贸易战', '新唐人', '新华社', 'WTO']",34
787,2018-07-30,"['CHINA', '中国', '泛亚', 'XIJINPING', '董瑶琼', '岳昕', 'ABC', 'AFP', 'TRUMP', 'BBC', 'CNN', 'FOXNEWSUS', 'FT', 'NEWS', 'HUAWEI', 'REUTERS', 'PANDA', 'RFI', 'RT', 'SINA', 'TVB', 'CCTV', 'UN', 'WORLDNEWS', 'WTO', 'GOOGLE', 'ZTE', '一带一路', '厉害了', '中国制造2025', '美中贸易战', '新唐人', '新华社', 'WTO']",34
788,2018-07-30,"['CHINA', '中国', '泛亚', 'XIJINPING', '董瑶琼', '岳昕', 'ABC', 'AFP', 'TRUMP', 'BBC', 'CNN', 'FOXNEWSUS', 'FT', 'NEWS', 'HUAWEI', 'REUTERS', 'PANDA', 'RFI', 'RT', 'SINA', 'TVB', 'CCTV', 'UN', 'WORLDNEWS', 'WTO', 'GOOGLE', 'ZTE', '一带一路', '厉害了', '中国制造2025', '美中贸易战', '新唐人', '新华社', 'WTO']",34
795,2018-07-30,['METOOMATTERS'],1
808,2018-07-30,['YOUTOO了'],1
819,2018-07-30,"['CHINA', '面对性侵不该沉默']",2
823,2018-07-30,"['CHINA', '中国', '泛亚', 'XIJINPING', '董瑶琼', '岳昕', 'ABC', 'AFP', 'TRUMP', 'BBC', 'CNN', 'FOXNEWSUS', 'FT', 'NEWS', 'HUAWEI', 'REUTERS', 'PANDA', 'RFI', 'RT', 'SINA', 'TVB', 'CCTV', 'UN', 'WORLDNEWS', 'WTO', 'GOOGLE', 'ZTE', '一带一路', '厉害了', '中国制造2025', '美中贸易战', '新唐人', '新华社', 'WTO']",34
824,2018-07-30,"['CHINA', '中国', '泛亚', 'XIJINPING', '董瑶琼', '岳昕', 'ABC', 'AFP', 'TRUMP', 'BBC', 'CNN', 'FOXNEWSUS', 'FT', 'NEWS', 'HUAWEI', 'REUTERS', 'PANDA', 'RFI', 'RT', 'SINA', 'TVB', 'CCTV', 'UN', 'WORLDNEWS', 'WTO', 'GOOGLE', 'ZTE', '一带一路', '厉害了', '中国制造2025', '美中贸易战', '新唐人', '新华社', 'WTO']",34
825,2018-07-30,['金融难民维权'],1
828,2018-07-30,['我也是'],1
831,2018-07-30,"['女强人', '中国女权']",2
832,2018-07-30,"['性骚扰获刑第一案', 'METOOCHINA', '女强人', '姐姐妹妹站起来']",4
833,2018-07-30,['性骚扰民事诉讼第一案'],1
834,2018-07-30,"['性犯罪', '性侵犯']",2
836,2018-07-30,['性侵犯'],1
